0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
7        1      18      2       2        1            1            1          "Spiked Shield"                      30      9         30                   40           0          130           0              0           0             0               0      0       1       0       1       1       0
8        1      18      2       2        1            1            1          "Tower Shield"                       40      11        40                   46           0          130           0              0           0             0               0      0       1       1       1       1       0
9        1      18      2       2        1            1            1          "Plate Shield"                       25      8         25                   38           0          120           0              0           0             0               0      0       1       0       1       1       0
10       1      18      2       2        1            1            1          "Large Round Shield"                 18      6         18                   35           0          120           0              0           0             0               0      0       1       0       1       1       0
11       1      18      2       2        1            1            1          "Serpent Shield"                     45      12        45                   48           0          130           0              0           0             0               0      0       1       1       1       1       0
12       1      18      2       2        1            1            1          "Bronze Shield"                      54      13        54                   52           0          140           0              0           0             0               0      0       1       0       1       0       0
13       1      18      2       2        1            1            1          "Dragon Shield"                      60      14        60                   60           0          120           40             0           0             0               0      0       1       0       1       0       0
14       1      0       2       3        1            1            1          "Legendary Shield"                   48      7         48                   50           0          90            25             0           0             0               0      1       0       1       1       0       0
15       1      0       2       3        1            1            1          "Grand Soul Shield"                  74      12        55                   55           0          70            23             0           0             0               0      2       0       0       0       0       0
16       1      0       2       2        1            1            1          "Elemental Shield"                   66      11        28                   51           0          30            60             30          0             0               0      0       0       2       0       0       0
17       1      18      2       2        1            1            1          "Crimson Glory"                      104     19        90                   51           380        95            48             0           0             0               0      0       2       0       0       0       0
18       1      18      2       2        1            1            1          "Salamander Shield"                  102     20        96                   51           380        80            61             0           0             0               0      0       0       0       1       0       0
19       1      0       2       2        1            1            1          "Frost Barrier"                      99      14        58                   51           380        26            53             26          0             0               0      0       0       2       0       0       0
20       1      18      2       2        1            1            1          "Guardian Shield"                    106     12        30                   51           380        54            18             0           0             0               0      2       0       0       0       0       0
21       1      18      2       2        1            1            1          "Cross Shield"                       70      16        75                   65           0          140           55             0           0             0               0      0       0       0       0       1       0
end

7
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDefense   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        2      0       2       2        1            1            1          "Bronze Helm"                        16      9         0              34           0          80            20             0           0             0               0      0       1       0       0       1       0
1        2      0       2       2        1            1            1          "Dragon Helm"                        57      24        0              68           0          120           30             0           0             0               0      0       1       0       0       0       0
2        2      0       2       2        1            1            1          "Pad Helm"                           5       4         0              28           0          20            0              0           0             0               0      1       0       0       0       0       0
3        2      0       2       2        1            1            1          "Legendary Helm"                     50      18        0              42           0          30            0              0           0             0               0      1       0       0       0       0       0
4        2      0       2       2        1            1            1          "Bone Helm"                          18      9         0              30           0          30            0              0           0             0               0      1       0       0       0       0       0
5        2      0       2       2        1            1            1          "Leather Helm"                       6       5         0              30           0          80            0              0           0             0               0      0       1       0       0       1       0
6        2      0       2       2        1            1            1          "Scale Helm"                         26      12        0              40           0          110           0              0           0             0               0      0       1       0       0       1       0
7        2      0       2       2        1            1            1          "Sphinx Mask"                        32      13        0              36           0          30            0              0           0             0               0      1       0       0       0       0       0
8        2      0       2       2        1            1            1          "Brass Helm"                         36      17        0              44           0          100           30             0           0             0               0      0       1       0       0       0       0
9        2      0       2       2        1            1            1          "Plate Helm"                         46      20        0              50           0          130           0              0           0             0               0      0       1       0       0       0       0
10       2      0       2       2        1            1            1          "Vine Helm"                          6       4         0              22           0          30            60             0           0             0               0      0       0       1       0       0       0
11       2      0       2       2        1            1            1          "Silk Helm"                          16      8         0              26           0          30            70             0           0             0               0      0       0       1       0       0       0
12       2      0       2       2        1            1            1          "Wind Helm"                          28      12        0              32           0          30            80             0           0             0               0      0       0       1       0       0       0
13       2      0       2       2        1            1            1          "Spirit Helm"                        40      16        0              38           0          40            80             0           0             0               0      0       0       1       0       0       0
14       2      0       2       2        1            1            1          "Guardian Helm"                      53      23        0              45           0          40            80             0           0             0               0      0       0       1       0       0       0
16       2      0       2       2        1            1            1          "Black Dragon Helm"                  82      30        0              74           0          170           60             0           0             0               0      0       1       0       0       0       0
17       2      0       2       2        1            1            1          "Dark Phoenix Helm"                  92      43        0              80           0          205           62             0           0             0               0      0       2       0       0       0       0
18       2      0       2       2        1            1            1          "Grand Soul Helm"                    81      27        0              67           0          59            20             0           0             0               0      2       0       0       0       0       0
19       2      0       2       2        1            1            1          "Divine Helm"                        85      37        0              74           0          50            110            0           0             0               0      0       0       2       0       0       0
21       2      0       2       2        1            1            1          "Great Dragon Helm"                  104     53        0              86           0          200           58             0           0             0               0      0       2       0       0       0       0
22       2      0       2       2        1            1            1          "Dark Soul Helm"                     110     36        0              75           0          55            18             0           0             0               0      2       0       0       0       0       0
24       2      0       2       2        1            1            1          "Red Spirit Helm"                    93      46        0              80           0          52            115            0           0             0               0      0       0       2       0       0       0
25       2      0       2       2        1            1            1          "Light Plate Mask"                   46      20        0              42           0          70            20             0           0             0               0      0       0       0       0       1       0
26       2      0       2       2        1            1            1          "Adamantine Mask"                    66      24        0              56           0          77            21             0           0             0               0      0       0       0       0       1       0
27       2      0       2       2        1            1            1          "Dark Steel Mask"                    86      26        0              70           0          84            22             0           0             0               0      0       0       0       0       1       0
28       2      0       2       2        1            1            1          "Dark Master Mask"                   106     34        0              78           0          80            21             0           0             0               0      0       0       0       0       1       0
29       2      0       2       2        1            1            1          "Dragon Knight Helm"                 130     66        0              90           380        170           60             0           0             0               0      0       2       0       0       0       0
30       2      0       2       2        1            1            1          "Venom Mist Helm"                    126     48        0              86           380        44            15             0           0             0               0      2       0       0       0       0       0
31       2      0       2       2        1            1            1          "Sylphid Ray Helm"                   126     57        0              86           380        38            80             0           0             0               0      0       0       2       0       0       0
33       2      0       2       2        1            1            1          "Sunlight Mask"                      130     46        0              82           380        62            16             0           0             0               0      0       0       0       0       1       0
34       2      0       2       2        1            1            1          "Ashcrow Helm"                       67      27        0              72           0          160           50             0           0             0               0      0       1       0       0       0       0
35       2      0       2       2        1            1            1          "Eclipse Helm"                       67      22        0              54           0          53            12             0           0             0               0      1       0       0       0       0       0
36       2      0       2       2        1            1            1          "Iris Helm"                          67      30        0              59           0          50            70             0           0             0               0      0       0       1       0       0       0
38       2      0       2       2        1            1            1          "Glorious Mask"                      97      30        0              74           0          80            21             0           0             0               0      0       0       0       0       1       0
39       2      0       2       2        1            1            1          "Violent Wind Helm"                  28      13        0              36           0          31            0              0           0             0               0      0       0       0       0       0       1
40       2      0       2       2        1            1            1          "Red Wing Helm"                      50      18        0              42           0          26            4              0           0             0               0      0       0       0       0       0       1
41       2      0       2       2        1            1            1          "Ancient Helm"                       68      24        0              54           0          52            16             0           0             0               0      0       0       0       0       0       1
42       2      0       2       2        1            1            1          "Demonic Helm"                       81      32        0              67           0          60            20             0           0             0               0      0       0       0       0       0       2
43       2      0       2       2        1            1            1          "Storm Blitz Helm"                   110     43        0              75           380        56            20             0           0             0               0      0       0       0       0       0       2
45       2      0       2       2        1            1            1          "Titan Helm"                         111     63        0              86           380        222           32             0           0             0               0      0       1       0       0       0       0
46       2      0       2       2        1            1            1          "Brave Helm"                         107     51        0              86           380        74            162            0           0             0               0      0       1       0       0       0       0
49       2      0       2       2        1            1            1          "Seraphim Helm"                      111     50        0              86           380        55            197            0           0             0               0      0       0       1       0       0       0
50       2      0       2       2        1            1            1          "Divine Helm"                        104     44        0              86           380        32            29             138         0             0               0      0       0       1       0       0       0
51       2      0       2       2        1            1            1          "Royal Mask"                         111     44        0              86           380        105           38             0           0             0               0      0       0       0       0       1       0
52       2      0       2       2        1            1            1          "Hades Helm"                         109     41        0              86           380        60            15             181         0             0               0      1       0       0       0       0       0
end

8
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDefense   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        3      0       2       2        1            1            1          "Bronze Armor"                       18      14        0              34           0          80            20             0           0             0               0      0       1       0       1       1       0
1        3      0       2       3        1            1            1          "Dragon Armor"                       59      37        0              68           0          120           30             0           0             0               0      0       1       0       1       0       0
2        3      0       2       2        1            1            1          "Pad Armor"                          10      7         0              28           0          30            0              0           0             0               0      1       0       0       1       0       0
3        3      0       2       2        1            1            1          "Legendary Armor"                    56      22        0              42           0          40            0              0           0             0               0      1       0       0       1       0       0
4        3      0       2       2        1            1            1          "Bone Armor"                         22      13        0              30           0          40            0              0           0             0               0      1       0       0       1       0       0
5        3      0       2       3        1            1            1          "Leather Armor"                      10      10        0              30           0          80            0              0           0             0               0      0       1       0       1       1       0
6        3      0       2       2        1            1            1          "Scale Armor"                        28      18        0              40           0          110           0              0           0             0               0      0       1       0       1       1       0
7        3      0       2       3        1            1            1          "Sphinx Armor"                       38      17        0              36           0          40            0              0           0             0               0      1       0       0       1       0       0
8        3      0       2       2        1            1            1          "Brass Armor"                        38      22        0              44           0          100           30             0           0             0               0      0       1       0       1       0       0
9        3      0       2       2        1            1            1          "Plate Armor"                        48      30        0              50           0          130           0              0           0             0               0      0       1       0       1       0       0
10       3      0       2       2        1            1            1          "Vine Armor"                         10      8         0              22           0          30            60             0           0             0               0      0       0       1       0       0       0
11       3      0       2       2        1            1            1          "Silk Armor"                         20      12        0              26           0          30            70             0           0             0               0      0       0       1       0       0       0
12       3      0       2       2        1            1            1          "Wind Armor"                         32      16        0              32           0          30            80             0           0             0               0      0       0       1       0       0       0
13       3      0       2       2        1            1            1          "Spirit Armor"                       44      21        0              38           0          40            80             0           0             0               0      0       0       1       0       0       0
14       3      0       2       2        1            1            1          "Guardian Armor"                     57      29        0              45           0          40            80             0           0             0               0      0       0       1       0       0       0
15       3      0       2       3        1            1            1          "Storm Crow Armor"                   80      44        0              80           0          150           70             0           0             0               0      0       0       0       1       0       0
16       3      0       2       3        1            1            1          "Black Dragon Armor"                 90      48        0              74           0          170           60             0           0             0               0      0       1       0       0       0       0
17       3      0       2       3        1            1            1          "Dark Phoenix Armor"                 100     63        0              80           0          214           65             0           0             0               0      0       2       0       0       0       0
18       3      0       2       3        1            1            1          "Grand Soul Armor"                   91      33        0              67           0          59            20             0           0             0               0      2       0       0       0       0       0
19       3      0       2       2        1            1            1          "Divine Armor"                       92      44        0              74           0          50            110            0           0             0               0      0       0       2       0       0       0
20       3      0       2       3        1            1            1          "Thunder Hawk Armor"                 107     60        0              82           0          170           70             0           0             0               0      0       0       0       1       0       0
21       3      0       2       3        1            1            1          "Great Dragon Armor"                 126     75        0              86           0          200           58             0           0             0               0      0       2       0       0       0       0
22       3      0       2       3        1            1            1          "Dark Soul Armor"                    122     43        0              75           0          55            18             0           0             0               0      2       0       0       0       0       0
23       3      0       2       3        1            1            1          "Hurricane Armor"                    128     73        0              90           0          162           66             0           0             0               0      0       0       0       1       0       0
24       3      0       2       2        1            1            1          "Red Sprit Armor"                    109     55        0              80           0          52            115            0           0             0               0      0       0       2       0       0       0
25       3      0       2       3        1            1            1          "Light Plate Armor"                  62      25        0              42           0          70            20             0           0             0               0      0       0       0       0       1       0
26       3      0       2       3        1            1            1          "Adamantine Armor"                   78      36        0              56           0          77            21             0           0             0               0      0       0       0       0       1       0
27       3      0       2       3        1            1            1          "Dark Steel Armor"                   96      43        0              70           0          84            22             0           0             0               0      0       0       0       0       1       0
28       3      0       2       3        1            1            1          "Dark Master Armor"                  117     51        0              78           0          80            21             0           0             0               0      0       0       0       0       1       0
29       3      0       2       3        1            1            1          "Dragon Knight Armor"                140     88        0              90           380        170           60             0           0             0               0      0       2       0       0       0       0
30       3      0       2       3        1            1            1          "Venom Mist Armor"                   146     57        0              86           380        44            15             0           0             0               0      2       0       0       0       0       0
31       3      0       2       3        1            1            1          "Sylphid Ray Armor"                  146     68        0              86           380        38            80             0           0             0               0      0       0       2       0       0       0
32       3      0       2       3        1            1            1          "Volcano Armor"                      147     86        0              95           380        145           60             0           0             0               0      0       0       0       1       0       0
33       3      0       2       3        1            1            1          "Sunlight Armor"                     147     64        0              82           380        62            16             0           0             0               0      0       0       0       0       1       0
34       3      0       2       3        1            1            1          "Ashcrow Armor"                      75      42        0              72           0          160           50             0           0             0               0      0       1       0       0       0       0
35       3      0       2       3        1            1            1          "Eclipse Armor"                      75      27        0              54           0          53            12             0           0             0               0      1       0       0       0       0       0
36       3      0       2       3        1            1            1          "Iris Armor"                         75      36        0              59           0          50            70             0           0             0               0      0       0       1       0       0       0
37       3      0       2       3        1            1            1          "Valiant Armor"                      105     52        0              81           0          155           50             0           0             0               0      0       0       0       1       0       0
38       3      0       2       3        1            1            1          "Glorious Armor"                     105     47        0              74           0          80            21             0           0             0               0      0       0       0       0       1       0
39       3      0       2       2        1            1            1          "Violent Wind Armor"                 34      22        0              36           0          39            0              0           0             0               0      0       0       0       0       0       1
40       3      0       2       2        1            1            1          "Red Wing Armor"                     56      28        0              42           0          35            8              0           0             0               0      0       0       0       0       0       1
41       3      0       2       2        1            1            1          "Ancient Armor"                      75      35        0              54           0          52            16             0           0             0               0      0       0       0       0       0       1
42       3      0       2       2        1            1            1          "Demonic Armor"                      91      45        0              67           0          60            20             0           0             0               0      0       0       0       0       0       2
43       3      0       2       2        1            1            1          "Storm Blitz Armor"                  122     56        0              75           380        57            19             0           0             0               0      0       0       0       0       0       2
45       3      0       2       3        1            1            1          "Titan Armor"                        132     81        0              86           380        222           32             0           0             0               0      0       1       0       0       0       0
46       3      0       2       3        1            1            1          "Brave Armor"                        128     62        0              86           380        74            162            0           0             0               0      0       1       0       0       0       0
47       3      0       2       3        1            1            1          "Phantom Armor"                      131     80        0              86           380        212           57             0           0             0               0      0       0       0       1       0       0
48       3      0       2       3        1            1            1          "Destroy Armor"                      125     66        0              86           380        62            19             165         0             0               0      0       0       0       1       0       0
49       3      0       2       2        1            1            1          "Seraphim Armor"                     129     60        0              86           380        55            197            0           0             0               0      0       0       1       0       0       0
50       3      0       2       2        1            1            1          "Divine Armor"                       122     52        0              86           380        32            29             138         0             0               0      0       0       1       0       0       0
51       3      0       2       3        1            1            1          "Royal Armor"                        132     58        0              86           380        105           38             0           0             0               0      0       0       0       0       1       0
52       3      0       2       3        1            1            1          "Hades Armor"                        129     50        0              86           380        60            15             181         0             0               0      1       0       0       0       0       0
end

9
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDefense   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU
0        4      0       2       2        1            1            1          "Bronze Pants"                       15      10        0              34           0          80            20             0           0             0               0      0       1       0       1       1       0
1        4      0       2       2        1            1            1          "Dragon Pants"                       55      26        0              68           0          120           30             0           0             0               0      0       1       0       1       0       0
2        4      0       2       2        1            1            1          "Pad Pants"                          8       5         0              28           0          30            0              0           0             0               0      1       0       0       1       0       0
3        4      0       2       2        1            1            1          "Legendary Pants"                    53      20        0              42           0          40            0              0           0             0               0      1       0       0       1       0       0
4        4      0       2       2        1            1            1          "Bone Pants"                         20      10        0              30           0          40            0              0           0             0               0      1       0       0       1       0       0
5        4      0       2       2        1            1            1          "Leather Pants"                      8       7         0              30           0          80            0              0           0             0               0      0       1       0       1       1       0
6        4      0       2       2        1            1            1          "Scale Pants"                        25      14        0              40           0          110           0              0           0             0               0      0       1       0       1       1       0
7        4      0       2       2        1            1            1          "Sphinx Pants"                       34      15        0              36           0          40            0              0           0             0               0      1       0       0       1       0       0
8        4      0       2       2        1            1            1          "Brass Pants"                        35      18        0              44           0          100           30             0           0             0               0      0       1       0       1       0       0
9        4      0       2       2        1            1            1          "Plate Pants"                        45      22        0              50           0          130           0              0           0             0               0      0       1       0       1       0       0
10       4      0       2       2        1            1            1          "Vine Pants"                         8       6         0              22           0          30            60             0           0             0               0      0       0       1       0       0       0
11       4      0       2       2        1            1            1          "Silk Pants"                         18      10        0              26           0          30            70             0           0             0               0      0       0       1       0       0       0
12       4      0       2       2        1            1            1          "Wind Pants"                         30      14        0              32           0          30            80             0           0             0               0      0       0       1       0       0       0
13       4      0       2       2        1            1            1          "Spirit Pants"                       42      18        0              38           0          40            80             0           0             0               0      0       0       1       0       0       0
14       4      0       2       2        1            1            1          "Guardian Pants"                     54      25        0              45           0          40            80             0           0             0               0      0       0       1       0       0       0
15       4      0       2       2        1            1            1          "Storm Crow Pants"                   74      34        0              80           0          150           70             0           0             0               0      0       0       0       1       0       0
16       4      0       2       2        1            1            1          "Black Dragon Pants"                 84      40        0              74           0          170           60             0           0             0               0      0       1       0       0       0       0
17       4      0       2       2        1            1            1          "Dark Phoenix Pants"                 96      54        0              80           0          207           63             0           0             0               0      0       2       0       0       0       0
18       4      0       2       2        1            1            1          "Grand Soul Pants"                   86      30        0              67           0          59            20             0           0             0               0      2       0       0       0       0       0
19       4      0       2       2        1            1            1          "Divine Pants"                       88      39        0              74           0          50            110            0           0             0               0      0       0       2       0       0       0
20       4      0       2       2        1            1            1          "Thunder Hawk Pants"                 99      49        0              82           0          150           70             0           0             0               0      0       0       0       1       0       0
21       4      0       2       2        1            1            1          "Great Dragon Pants"                 113     65        0              86           0          200           58             0           0             0               0      0       2       0       0       0       0
22       4      0       2       2        1            1            1          "Dark Soul Pants"                    117     39        0              75           0          55            18             0           0             0               0      2       0       0       0       0       0
23       4      0       2       2        1            1            1          "Hurricane Pants"                    122     61        0              90           0          162           66             0           0             0               0      0       0       0       1       0       0
24       4      0       2       2        1            1            1          "Red Spirit Pants"                   100     48        0              80           0          52            115            0           0             0               0      0       0       2       0       0       0
25       4      0       2       2        1            1            1          "Light Plate Pants"                  50      21        0              42           0          70            20             0           0             0               0      0       0       0       0       1       0
26       4      0       2       2        1            1            1          "Adamantine Pants"                   70      26        0              56           0          77            21             0           0             0               0      0       0       0       0       1       0
27       4      0       2       2        1            1            1          "Dark Steel Pants"                   92      31        0              70           0          84            22             0           0             0               0      0       0       0       0       1       0
28       4      0       2       2        1            1            1          "Dark Master Pants"                  110     39        0              78           0          80            21             0           0             0               0      0       0       0       0       1       0
29       4      0       2       2        1            1            1          "Dragon Knight Pants"                134     78        0              90           380        170           60             0           0             0               0      0       2       0       0       0       0
30       4      0       2       2        1            1            1          "Venom Mist Pants"                   135     55        0              86           380        44            15             0           0             0               0      2       0       0       0       0       0
31       4      0       2       2        1            1            1          "Sylphid Ray Pants"                  135     61        0              86           380        38            80             0           0             0               0      0       0       2       0       0       0
32       4      0       2       2        1            1            1          "Volcano Pants"                      135     74        0              95           380        145           60             0           0             0               0      0       0       0       1       0       0
33       4      0       2       2        1            1            1          "Sunlight Pants"                     140     52        0              82           380        62            16             0           0             0               0      0       0       0       0       1       0
34       4      0       2       2        1            1            1          "Ashcrow Pants"                      69      33        0              72           0          160           50             0           0             0               0      0       1       0       0       0       0
35       4      0       2       2        1            1            1          "Eclipse Pants"                      69      25        0              54           0          53            12             0           0             0               0      1       0       0       0       0       0
36       4      0       2       2        1            1            1          "Iris Pants"                         69      32        0              59           0          50            70             0           0             0               0      0       0       1       0       0       0
37       4      0       2       2        1            1            1          "Valiant Pants"                      101     41        0              81           0          155           50             0           0             0               0      0       0       0       1       0       0
38       4      0       2       2        1            1            1          "Glorious Pants"                     101     35        0              74           0          80            21             0           0             0               0      0       0       0       0       1       0
