//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU
461       "Add Death Stab Improved 2"          80       15      14      2       2       0       5      0        0          0           0               0              0                0       3       0       0       0       0
462       "Add Death Stab Improved 3"          85       15      15      2       2       0       5      0        0          0           0               0              0                0       3       0       0       0       0
463       "Add Death Stab Improved 4"          90       15      16      2       2       0       5      0        0          0           0               0              0                0       3       0       0       0       0
464       "Add Death Stab Improved 5"          95       15      18      2       2       0       5      0        0          0           0               0              0                0       3       0       0       0       0
465       "Add Rageful Blow Improved 1"        65       25      22      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0
466       "Add Rageful Blow Improved 2"        70       25      24      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0
467       "Add Rageful Blow Improved 3"        75       25      26      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0
468       "Add Rageful Blow Improved 4"        80       25      28      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0
469       "Add Rageful Blow Improved 5"        85       25      30      0       4       0       4      0        0          0           0               0              0                0       3       0       0       0       0
470       "Add Greater Life Improved 1"        0        22      26      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0
471       "Add Greater Life Improved 2"        0        22      28      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0
472       "Add Greater Life Improved 3"        0        22      31      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0
473       "Add Greater Life Improved 4"        0        22      33      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0
474       "Add Greater Life Improved 5"        0        22      36      0       5       0       *      8        0          0           0               0              0                0       3       0       0       0       0
475       "Add Heal Improved 1"                0        22      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0
476       "Add Heal Improved 2"                0        24      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0
477       "Add Heal Improved 3"                0        26      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0
478       "Add Heal Improved 4"                0        28      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0
479       "Add Heal Improved 5"                0        30      0       6       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0
480       "Add Greater Defense Improved 1"     0        33      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0
481       "Add Greater Defense Improved 2"     0        36      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0
482       "Add Greater Defense Improved 3"     0        39      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0
483       "Add Greater Defense Improved 4"     0        42      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0
484       "Add Greater Defense Improved 5"     0        45      0       6       0       0       *      2        0          0           0               0              0                0       0       3       0       0       0
485       "Add Greater Damage Improved 1"      0        44      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0
486       "Add Greater Damage Improved 2"      0        48      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0
487       "Add Greater Damage Improved 3"      0        52      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0
488       "Add Greater Damage Improved 4"      0        56      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0
489       "Add Greater Damage Improved 5"      0        60      0       6       0       0       *      1        0          0           0               0              0                0       0       3       0       0       0
490       "Add Triple Shot Improved 1"         2        5       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0
491       "Add Triple Shot Improved 2"         4        5       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0
492       "Add Triple Shot Improved 3"         6        5       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0
493       "Add Triple Shot Improved 4"         8        5       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0
494       "Add Triple Shot Improved 5"         10       5       0       0       6       0       *      0        0          0           0               0              0                0       0       3       0       0       0
495       "Add Twisting Slash Improved 1"      2        10      11      0       3       0       5      0        0          0           0               0              0                0       0       0       3       0       0
496       "Add Twisting Slash Improved 2"      4        10      12      0       3       0       5      0        0          0           0               0              0                0       0       0       3       0       0
497       "Add Twisting Slash Improved 3"      6        10      13      0       3       0       5      0        0          0           0               0              0                0       0       0       3       0       0
498       "Add Twisting Slash Improved 4"      8        10      14      0       3       0       5      0        0          0           0               0              0                0       0       0       3       0       0
499       "Add Twisting Slash Improved 5"      10       10      15      0       3       0       5      0        0          0           0               0              0                0       0       0       3       0       0
500       "Add Fire Slash Improved 1"          85       15      22      2       6       0       1      58       0          0           0               0              0                0       0       0       3       0       0
501       "Add Fire Slash Improved 2"          90       15      24      2       6       0       1      58       0          0           0               0              0                0       0       0       3       0       0
502       "Add Fire Slash Improved 3"          95       15      26      2       6       0       1      58       0          0           0               0              0                0       0       0       3       0       0
503       "Add Fire Slash Improved 4"          100      15      28      2       6       0       1      58       0          0           0               0              0                0       0       0       3       0       0
504       "Add Fire Slash Improved 5"          105      15      30      2       6       0       1      58       0          0           0               0              0                0       0       0       3       0       0
505       "Add Power Slash Improved 1"         5        15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       3       0       0
506       "Add Power Slash Improved 2"         10       15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       3       0       0
507       "Add Power Slash Improved 3"         15       15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       3       0       0
508       "Add Power Slash Improved 4"         20       15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       3       0       0
509       "Add Power Slash Improved 5"         25       15      0       0       5       0       *      0        0          0           0               0              0                0       0       0       3       0       0
510       "Add Blast Improved 1"               80       165     0       3       6       0       2      0        0          0           0               0              0                0       0       0       3       0       0
511       "Add Blast Improved 2"               90       180     0       3       6       0       2      0        0          0           0               0              0                0       0       0       3       0       0
512       "Add Blast Improved 3"               100      195     0       3       6       0       2      0        0          0           0               0              0                0       0       0       3       0       0
513       "Add Blast Improved 4"               110      210     0       3       6       0       2      0        0          0           0               0              0                0       0       0       3       0       0
514       "Add Blast Improved 5"               120      225     0       3       6       0       2      0        0          0           0               0              0                0       0       0       3       0       0
515       "Add Earthquake Improved 1"          155      0       55      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       3       0
516       "Add Earthquake Improved 2"          160      0       60      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       3       0
517       "Add Earthquake Improved 3"          165      0       65      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       3       0
518       "Add Earthquake Improved 4"          170      0       70      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       3       0
519       "Add Earthquake Improved 5"          175      0       75      0       5       10000   2      0        0          0           0               0              0                0       0       0       0       3       0
520       "Add Fire Burst Improved 1"          105      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0
521       "Add Fire Burst Improved 2"          110      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0
522       "Add Fire Burst Improved 3"          115      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0
523       "Add Fire Burst Improved 4"          120      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0
524       "Add Fire Burst Improved 5"          125      25      0       6       3       0       *      0        0          0           0               0              0                0       0       0       0       3       0
525       "Add Fire Scream Improved 1"         135      45      11      4       6       0       *      0        0          0           0               0              0                0       0       0       0       3       0
526       "Add Fire Scream Improved 2"         140      45      12      4       6       0       *      0        0          0           0               0              0                0       0       0       0       3       0
527       "Add Fire Scream Improved 3"         145      45      13      4       6       0       *      0        0          0           0               0              0                0       0       0       0       3       0
528       "Add Fire Scream Improved 4"         150      45      14      4       6       0       *      0        0          0           0               0              0                0       0       0       0       3       0
529       "Add Fire Scream Improved 5"         155      45      15      4       6       0       *      0        0          0           0               0              0                0       0       0       0       3       0
530       "Add Evil Spirit Improved 1"         50       99      0       0       6       0       *      0        0          0           0               0              0                0       0       0       3       0       0
531       "Add Evil Spirit Improved 2"         55       108     0       0       6       0       *      0        0          0           0               0              0                0       0       0       3       0       0
532       "Add Evil Spirit Improved 3"         60       117     0       0       6       0       *      0        0          0           0               0              0                0       0       0       3       0       0
533       "Add Evil Spirit Improved 4"         65       126     0       0       6       0       *      0        0          0           0               0              0                0       0       0       3       0       0
534       "Add Evil Spirit Improved 5"         70       135     0       0       6       0       *      0        0          0           0               0              0                0       0       0       3       0       0
535       "Add Sleep Improved 1"               0        27      6       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3
536       "Add Sleep Improved 2"               0        34      9       6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3
537       "Add Sleep Improved 3"               0        41      12      6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3
538       "Add Sleep Improved 4"               0        48      15      6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3
539       "Add Sleep Improved 5"               0        55      18      6       0       0       *      72       0          0           0               0              0                0       0       0       0       0       3
540       "Add Chain Lightning Improved 1"     75       94      0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       3
541       "Add Chain Lightning Improved 2"     80       103     0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       3
542       "Add Chain Lightning Improved 3"     85       112     0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       3
543       "Add Chain Lightning Improved 4"     90       121     0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       3
544       "Add Chain Lightning Improved 5"     95       130     0       6       3       0       2      0        0          0           0               0              0                0       0       0       0       0       3
545       "Add Red Storm Improved 1"           100      125     10      0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       3
546       "Add Red Storm Improved 2"           105      135     13      0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       3
547       "Add Red Storm Improved 3"           110      145     16      0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       3
548       "Add Red Storm Improved 4"           115      155     19      0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       3
549       "Add Red Storm Improved 5"           120      165     22      0       5       0       2      85       0          0           0               0              0                0       0       0       0       0       3
550       "Add Drain Life Improved 1"          40       57      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3
551       "Add Drain Life Improved 2"          45       64      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3
552       "Add Drain Life Improved 3"          50       71      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3
553       "Add Drain Life Improved 4"          55       78      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3
554       "Add Drain Life Improved 5"          60       85      0       6       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3
end
